user_id,show_watched,duration_watched(minutes),date_watched,gender,age,subscription_type,device_used,rating_given,location,watching_method
8270,House of Cards,35.15,01-01-2023 00:00,Female,30,Standard,Tablet,2,France,Binge-watched
1860,House of Cards,35.49,01-01-2023 00:01,Male,,Standard,Tablet,3,Germany,Watched weekly
6390,BoJack Horseman,14.12,01-01-2023 00:02,Male,15,Standard,TV,3,Germany,Binge-watched
6191,BoJack Horseman,48.57,01-01-2023 00:03,Female,20,Standard,,1,Australia,Watched daily
6734,The Umbrella Academy,34.08,01-01-2023 00:04,Male,31,Premium,Tablet,5,Australia,Watched weekly
7265,Black Mirror,3.13,01-01-2023 00:05,Male,20,Basic,Desktop,5,Germany,Watched weekly
1466,Stranger Things,,01-01-2023 00:06,Female,46,Standard,Desktop,4,US,Watched daily
5426,The Umbrella Academy,106.32,01-01-2023 00:07,Male,35,Basic,Mobile,4,Germany,Watched daily
6578,Ozark,,01-01-2023 00:08,Male,66,Basic,Mobile,3,Germany,Started but didn't finish
9322,The Umbrella Academy,19.54,01-01-2023 00:09,Male,35,Premium,TV,5,Canada,Watched daily
2685,The Crown,65.68,01-01-2023 00:10,Female,30,Basic,Desktop,5,Australia,Watched daily
1769,The Witcher,75.69,01-01-2023 00:11,Male,66,Basic,Mobile,2,Australia,Binge-watched
7949,Stranger Things,114.91,01-01-2023 00:12,Male,,Standard,Desktop,3,France,Binge-watched
3433,The Witcher,45.28,01-01-2023 00:13,Male,24,Premium,Mobile,2,Germany,Binge-watched
6311,The Crown,74.18,01-01-2023 00:14,Female,72,Standard,Tablet,2,France,Binge-watched
6051,The Witcher,105.38,01-01-2023 00:15,Female,44,Premium,Tablet,2,UK,Binge-watched
7420,Ozark,53.99,01-01-2023 00:16,Male,20,Basic,TV,5,Australia,Started but didn't finish
2184,The Crown,14.68,01-01-2023 00:17,Female,77,Standard,Desktop,2,Canada,Watched daily
5555,The Crown,45.29,01-01-2023 00:18,Male,59,Standard,Desktop,3,UK,Started but didn't finish
4385,Stranger Things,16.39,01-01-2023 00:19,Male,38,Premium,Desktop,4,Australia,Started but didn't finish
7396,House of Cards,2,01-01-2023 00:20,Female,73,Premium,Desktop,4,France,Watched weekly
9666,The Umbrella Academy,90.19,01-01-2023 00:21,Female,50,Standard,Tablet,1,France,Watched daily
3558,Money Heist,,01-01-2023 00:22,Male,35,Standard,Tablet,3,UK,Binge-watched
8849,Black Mirror,0.24,01-01-2023 00:23,Female,37,Standard,Desktop,2,Germany,Binge-watched
3047,The Witcher,104.69,01-01-2023 00:24,Male,57,Standard,TV,5,Canada,Watched weekly
3747,The Witcher,,01-01-2023 00:25,nan,75,Standard,Desktop,1,France,Watched weekly
1189,The Crown,28.66,01-01-2023 00:26,Female,32,Basic,Mobile,2,US,Watched daily
3734,Narcos,31.53,01-01-2023 00:27,nan,,Standard,Tablet,3,Canada,Watched daily
4005,House of Cards,28.86,01-01-2023 00:28,Male,78,Basic,Tablet,1,UK,Watched weekly
5658,The Umbrella Academy,,01-01-2023 00:29,Male,30,Premium,Desktop,3,France,Started but didn't finish
2899,BoJack Horseman,100.95,01-01-2023 00:30,Female,58,Premium,Mobile,4,France,Binge-watched
8734,Stranger Things,20.44,01-01-2023 00:31,Female,45,Standard,TV,2,Australia,Started but didn't finish
2267,Stranger Things,67.42,01-01-2023 00:32,Female,46,Basic,Tablet,4,UK,Watched daily
2528,Ozark,9.28,01-01-2023 00:33,Male,51,Basic,Mobile,3,US,Started but didn't finish
4556,The Umbrella Academy,113.94,01-01-2023 00:34,Female,71,Standard,Mobile,3,Australia,Started but didn't finish
4890,Money Heist,,01-01-2023 00:35,Female,15,Standard,Tablet,3,US,Watched daily
9838,Black Mirror,108.38,01-01-2023 00:36,Female,17,Basic,Tablet,2,France,Watched daily
6393,BoJack Horseman,47.75,01-01-2023 00:37,Male,78,Premium,Mobile,2,Germany,Started but didn't finish
9792,The Witcher,97.28,01-01-2023 00:38,Female,49,Standard,TV,4,US,Started but didn't finish
9433,The Crown,102.44,01-01-2023 00:39,Female,19,Basic,Mobile,5,US,Started but didn't finish
